player_name,team_code,gameweek,match_id,llm_team_rotation,llm_player_rotation,llm_manager_sentiment,llm_strength,llm_source_type,llm_quote,llm_status,is_starter,team_name
Mamardashvili,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Pécsi,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Woodman,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Frimpong,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Kerkez,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Robertson,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Virgil,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Konaté,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Bradley,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Gomez,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Nallo,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
R.Williams,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Ramsay,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
M.Salah,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Wirtz,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Gakpo,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Chiesa,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Mac Allister,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Szoboszlai,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
C.Jones,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Gravenberch,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,1,Liverpool
Endo,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Nyoni,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Danns,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Isak,14,8,25-26-prem-liverpool-vs-manchester-united,,0.2,0.5,implied,manager_quote,Fitness-wise he is close to the level he should be and we can judge him in a fair way from now on.,ok,1,Liverpool
Ekitiké,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Ngumoha,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Morrison,14,8,25-26-prem-liverpool-vs-manchester-united,,,,none,,,ok,0,Liverpool
Trafford,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Aït-Nouri,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Gvardiol,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Aké,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Khusanov,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Matheus N.,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Rúben,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Stones,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Lewis,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
O’Reilly,43,16,25-26-prem-crystal-palace-vs-manchester-city,,0.2,1.0,implied,journalist_prediction,"He can feel confident of keeping his place in Guardiola's starting line-up to face Crystal Palace, live on Sky Sports on Sunday.",ok,1,Man City
Marmoush,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Foden,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Savinho,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Bernardo,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Cherki,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Doku,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Reijnders,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Phillips,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Haaland,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Donnarumma,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Mukasa,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Mfuni,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
McAidoo,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
N.Gonzalez,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,1,Man City
Bettinelli,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Bobb,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Ortega Moreno,43,16,25-26-prem-crystal-palace-vs-manchester-city,,,,none,,,ok,0,Man City
Lewis-Skelly,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,0,Arsenal
J.Timber,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,1,Arsenal
Clarke,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,0,Arsenal
Nichols,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,0,Arsenal
Saka,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,1,Arsenal
Ødegaard,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,1,Arsenal
Madueke,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,0,Arsenal
Trossard,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,1,Arsenal
Rice,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,1,Arsenal
Merino,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,0,Arsenal
Nørgaard,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,0,Arsenal
Zubimendi,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,1,Arsenal
White,3,23,25-26-prem-arsenal-vs-manchester-united,,,,none,,,ok,0,Arsenal
Martinelli,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,0,Arsenal
Havertz,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,Doubtful Havertz (knee),ok,0,Arsenal
G.Jesus,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,1,Arsenal
Eze,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,0,Arsenal
Mosquera,3,23,25-26-prem-arsenal-vs-manchester-united,,0.8,,implied,journalist_prediction,"Subs from Arrizabalaga, Setford, Lewis-Skelly, Mosquera, Nørgaard, Merino, Nwaneri, Martinelli, Eze, Madueke, Harriman-Annous, Jesus, Havertz",ok,0,Arsenal
